연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,읍면동,경기도 고양시 덕양구 화전동,27386,3908,1765,2971,6083,4804,3387,2658,1186,519,99,6,13631,1989,867,1489,2954,2578,1688,1283,571,185,26,1,13755,1919,898,1482,3129,2226,1699,1375,615,334,73,5
2021,04,읍면동,경기도 고양시 덕양구 화정1동 ,37869,1938,3608,6181,4288,5730,7546,4314,2525,1548,180,11,18447,1004,1871,3125,2214,2682,3687,2188,996,615,63,2,19422,934,1737,3056,2074,3048,3859,2126,1529,933,117,9
2021,04,읍면동,경기도 고양시 덕양구 화정2동 ,33154,2542,3669,4621,4287,6090,5830,3192,1710,1075,135,3,16066,1303,1891,2332,2116,2819,2883,1625,664,395,37,1,17088,1239,1778,2289,2171,3271,2947,1567,1046,680,98,2
2021,04,읍면동,경기도 고양시 덕양구 효자동,13375,2051,983,1543,2878,2366,1666,1127,493,227,33,8,6513,1029,449,710,1366,1270,820,551,232,75,7,4,6862,1022,534,833,1512,1096,846,576,261,152,26,4
2021,04,읍면동,경기도 고양시 덕양구 흥도동,46863,5418,4128,5237,7896,8708,6733,4969,2563,1064,142,5,22787,2725,2071,2577,3755,4470,3240,2354,1172,387,35,1,24076,2693,2057,2660,4141,4238,3493,2615,1391,677,107,4
2021,04,구,경기도 고양시 일산동구,300407,20696,29204,44758,38625,50887,56071,34102,15595,8985,1439,45,146147,10585,15046,22558,18886,24118,27365,17255,6741,3222,356,15,154260,10111,14158,22200,19739,26769,28706,16847,8854,5763,1083,30
2021,04,읍면동,경기도 고양시 일산동구 고봉동 ,23262,1387,1523,2948,3013,3472,4594,3602,1651,883,185,4,12193,709,827,1692,1640,1875,2438,1886,784,315,25,2,11069,678,696,1256,1373,1597,2156,1716,867,568,160,2
2021,04,읍면동,경기도 고양시 일산동구 마두1동,24172,1398,3248,3720,2268,4124,4736,2672,1162,714,125,5,11642,715,1656,1869,1047,1838,2329,1409,501,247,30,1,12530,683,1592,1851,1221,2286,2407,1263,661,467,95,4
2021,04,읍면동,경기도 고양시 일산동구 마두2동,16496,1209,2177,2245,1585,2913,3100,1631,831,699,104,2,7820,618,1118,1131,698,1280,1517,830,340,250,37,1,8676,591,1059,1114,887,1633,1583,801,491,449,67,1
2021,04,읍면동,경기도 고양시 일산동구 백석1동,30739,2005,2701,4892,4533,4994,5714,3490,1494,804,107,5,14634,1013,1380,2406,2218,2309,2680,1693,608,302,23,2,16105,992,1321,2486,2315,2685,3034,1797,886,502,84,3
