시군명,per_in,per_ex,per_tag
가평군,54.020413243714216,38.98431665421957,6.995270102066218
고양시,64.80756421295469,28.208210810196093,6.9842249768492195
과천시,50.991831971995325,35.764294049008164,13.243873978996499
광명시,57.42509414397205,31.364951154286963,11.209954701740982
광주시,52.58048032703117,27.93391245103049,19.48560722193834
구리시,50.64635272391506,41.45891043397968,7.894736842105263
군포시,61.352078970984145,24.461561471731976,14.186359557283875
김포시,50.328614762386245,40.19211324570273,9.479271991911022
남양주시,62.76072181860792,24.088938364190298,13.15033981720178
동두천시,50.20131771595901,42.313323572474374,7.485358711566619
부천시,52.85526673308577,37.17733900914772,9.967394257766507
성남시,62.95026446177325,28.796019484456338,8.253716053770411
수원시,63.29098423388948,26.39369355579366,10.315322210316854
시흥시,68.58220981879643,21.351361974765144,10.066428206438426
안산시,48.30970218562318,29.10036530245805,22.589932511918768
안성시,47.66998517263292,29.908917602202923,22.42109722516416
안양시,65.78372733314345,25.68119244279882,8.535080224057722
양주시,49.66709728709133,39.0241478684289,11.308754844479777
양평군,41.77772027429163,26.769310389442357,31.452969336266012
여주시,37.19897124152443,31.564180500350712,31.236848258124855
연천군,48.55072463768116,50.54347826086957,0.9057971014492754
오산시,65.53724053724054,31.746031746031743,2.716727716727717
의왕시,52.08617812168108,28.6451221362464,19.268699742072524
의정부시,37.8138053682948,39.07936639232392,23.10682823938128
이천시,54.53144266337855,30.990546650226058,14.478010686395395
파주시,60.32755538928378,32.4437793573596,7.228665253356612
평택시,45.71058459738415,34.15653336676277,20.13288203585308
포천시,65.39848539487919,18.364587089794444,16.23692751532636
하남시,60.87614435953695,27.222516456079294,11.901339184383747
화성시,52.136706566073954,37.9435365626083,9.919756871317746
