시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
이천시,장호원읍,482,110,372,0,236,125,121,51,281,1.72,0,2021-03-18
이천시,중리동,360,33,327,0,208,106,46,44,273,1.32,0,2021-03-18
이천시,증일동,50,1,49,0,30,18,2,15,41,1.22,0,2021-03-18
이천시,증포동,751,55,696,0,411,265,75,47,584,1.29,0,2021-03-18
이천시,진리동,33,2,31,0,17,14,2,13,23,1.43,0,2021-03-18
이천시,창전동,961,49,912,0,561,321,79,51,728,1.32,0,2021-03-18
이천시,호법면,222,34,188,0,107,79,36,40,145,1.53,0,2021-03-18
파주시,검산동,246,9,237,0,142,89,15,31,171,1.44,0,2021-06-16
파주시,광탄면,591,41,549,1,355,187,49,57,332,1.78,0,2021-06-16
파주시,교하동,204,4,200,0,122,77,5,23,48,4.25,3,2021-06-16
파주시,교하읍,509,0,509,0,505,4,0,39,410,1.24,0,2021-06-16
파주시,군내면,6,0,6,0,2,4,0,3,5,1.2,0,2021-06-16
파주시,금능동,43,1,42,0,28,15,0,15,36,1.19,0,2021-06-16
파주시,금릉동,164,6,158,0,102,54,8,33,118,1.39,1,2021-06-16
파주시,금촌동,2809,120,2689,0,1707,899,203,81,2086,1.35,7,2021-06-16
파주시,다율동,461,19,442,0,259,165,37,46,351,1.31,0,2021-06-16
파주시,당하동,72,4,68,0,46,19,7,19,44,1.64,0,2021-06-16
파주시,동패동,2056,41,2014,1,1134,801,121,66,1513,1.36,1,2021-06-16
파주시,맥금동,23,6,17,0,10,9,4,9,21,1.1,0,2021-06-16
파주시,목동동,2682,70,2612,0,1592,911,179,85,2049,1.31,5,2021-06-16
파주시,문발동,501,7,494,0,303,174,24,55,357,1.4,0,2021-06-16
파주시,문산읍,2236,68,2166,2,1231,885,120,78,1591,1.41,3,2021-06-16
파주시,법원읍,592,24,565,3,395,154,43,50,353,1.68,0,2021-06-16
파주시,산남동,135,8,127,0,88,38,9,42,75,1.8,0,2021-06-16
파주시,상지석동,298,9,289,0,169,101,28,44,197,1.51,0,2021-06-16
파주시,서패동,30,0,30,0,23,7,0,12,20,1.5,0,2021-06-16
파주시,송촌동,55,1,54,0,45,10,0,15,19,2.89,0,2021-06-16
파주시,신촌동,44,2,42,0,20,17,7,23,28,1.57,0,2021-06-16
파주시,아동동,819,33,786,0,454,280,85,47,616,1.33,0,2021-06-16
파주시,야당동,2818,59,2757,2,1749,853,216,81,1998,1.41,6,2021-06-16
파주시,야동동,267,9,257,1,153,98,16,39,206,1.3,0,2021-06-16
파주시,연다산동,32,4,28,0,16,14,2,15,20,1.6,0,2021-06-16
파주시,오도동,48,0,48,0,30,16,2,17,22,2.18,0,2021-06-16
파주시,와동동,2575,43,2530,2,1690,726,159,71,1439,1.79,3,2021-06-16
파주시,월롱면,395,16,378,1,244,127,24,55,257,1.54,0,2021-06-16
파주시,적성면,224,18,206,0,134,62,28,41,167,1.34,0,2021-06-16
파주시,조리읍,1354,87,1267,0,735,461,158,65,959,1.41,0,2021-06-16
파주시,진동면,7,0,7,0,7,0,0,5,3,2.33,0,2021-06-16
파주시,탄현면,888,60,827,1,524,282,82,70,558,1.59,0,2021-06-16
파주시,파주읍,700,45,654,1,404,199,97,52,419,1.67,0,2021-06-16
파주시,파평면,134,6,128,0,72,51,11,25,75,1.79,0,2021-06-16
파주시,하지석동,39,3,36,0,23,16,0,16,21,1.86,0,2021-06-16
평택시,가재동,155,47,108,0,57,49,49,26,103,1.5,0,2020-03-10
평택시,고덕면,818,363,455,0,231,223,364,59,520,1.57,1,2020-03-10
평택시,군문동,175,27,148,0,88,59,28,32,136,1.29,0,2020-03-10
평택시,도일동,96,45,50,1,28,21,47,25,55,1.75,0,2020-03-10
평택시,독곡동,500,75,424,1,242,172,86,40,359,1.39,0,2020-03-10
평택시,동삭동,892,124,768,0,454,290,148,51,664,1.34,1,2020-03-10
평택시,모곡동,13,5,8,0,4,4,5,8,9,1.44,0,2020-03-10
평택시,비전동,2540,351,2188,1,1209,947,384,69,1983,1.28,9,2020-03-10
평택시,서정동,2469,283,2180,6,1303,809,357,72,1789,1.38,4,2020-03-10
평택시,서탄면,210,82,127,1,79,49,82,42,140,1.5,0,2020-03-10
